row_key,system_id,display_name,recording_modality,speech_type,participants,hours_per_participant,task_structure,vocabulary_provenance,language_model,calibration_burden,split_discipline
card_2024_v125k:system,card_2024_v125k,Card (+LM; V=125k),intracortical,attempted,1 clinical (ALS),15.9–94.5 h (final five evaluated sessions),continuous sentence decoding,unrestricted (125k English lexicon),n-gram + neural (5-gram + transformer); reported result includes rescoring,1.4 h added (1.9 h cumulative) before first 125k use; later updates 7.5 min,—
willett_2023_v125k:system,willett_2023_v125k,Willett (+LM; V=125k),intracortical,attempted,1 clinical (ALS),16.8 h over 15 days,continuous sentence decoding,unrestricted (125k English lexicon),n-gram (trigram); reported result includes rescoring,140 min/day (data collection + RNN training),neural training/test sentences disjoint; LM-corpus overlap —
willett_2023_v50:neural,willett_2023_v50,Willett (isolated; V=50),intracortical,attempted,1 clinical (ALS),—,isolated-word classification,bespoke clinical list (Moses 50),none (no rescoring),—,N/A (isolated-word evaluation)
willett_2023_v50:system,willett_2023_v50,Willett (+LM; V=50),intracortical,attempted,1 clinical (ALS),16.8 h over 15 days,continuous sentence decoding,bespoke clinical list (Moses 50),type —; reported result includes LM rescoring,140 min/day (data collection + RNN training),neural training/test sentences disjoint; LM-corpus overlap —
moses_2021_v50:system,moses_2021_v50,Moses (+LM; V=50),ECoG,attempted,1 clinical (brain-stem stroke),22.5 h over 48 sessions,sentence decoding from discrete word attempts,bespoke participant/caregiving list,n-gram (5-gram); reported result includes rescoring,—,no: evaluation sentences occur in LM training corpus
moses_2021_v50:neural,moses_2021_v50,Moses (isolated; V=50),ECoG,attempted,1 clinical (brain-stem stroke),22.5 h over 48 sessions,isolated-word classification,bespoke participant/caregiving list,none (no rescoring),—,N/A (isolated words; block-level folds disjoint)
tang_2023_v6867:system,tang_2023_v6867,Tang (+LM; V=6867),fMRI,perceived,3 healthy,16 h,continuous narrative reconstruction,6867 words occurring at least twice in encoding-model training data,autoregressive language model + beam search; reported result includes LM decoding,—,test stories excluded from model training
dascoli_libribrain100_s0_v50:neural,dascoli_libribrain100_s0_v50,LibriBrain100 2025 (V=50),MEG,perceived,1 healthy,52.32 h,isolated-word classification (contextual input),frequency-selected from evaluation corpus (Sherlock),none (no rescoring),—,yes: held-out sessions/story chapters
armeni_2022_v50:neural,armeni_2022_v50,Armeni 2022 (V=50),MEG,perceived,3 healthy,10 h,isolated-word classification (local),frequency-selected from evaluation corpus (Sherlock),none (no rescoring),—,—
meg_masc_2023_v50:neural,meg_masc_2023_v50,MEG-MASC 2023 (V=50),MEG,perceived,27 healthy,about 2 h,naturalistic listening; isolated-word classification (local),top-50 pooled tokens from four stimulus stories,none (no rescoring),—,—
